Y,X1,X2,X3,X4,X5
15.55,0.98,514.5,294,7.00,0.00
15.55,0.98,514.5,294,7.00,0.00
15.55,0.98,514.5,294,7.00,0.00
15.55,0.98,514.5,294,7.00,0.00
20.84,0.9,563.5,318.5,7.00,0.00
21.46,0.9,563.5,318.5,7.00,0.00
20.71,0.9,563.5,318.5,7.00,0.00
19.68,0.9,563.5,318.5,7.00,0.00
19.5,0.86,588,294,7.00,0.00
19.95,0.86,588,294,7.00,0.00
19.34,0.86,588,294,7.00,0.00
18.31,0.86,588,294,7.00,0.00
17.05,0.82,612.5,318.5,7.00,0.00
17.41,0.82,612.5,318.5,7.00,0.00
16.95,0.82,612.5,318.5,7.00,0.00
15.98,0.82,612.5,318.5,7.00,0.00
28.52,0.79,637,343,7.00,0.00
29.9,0.79,637,343,7.00,0.00
29.63,0.79,637,343,7.00,0.00
28.75,0.79,637,343,7.00,0.00
24.77,0.76,661.5,416.5,7.00,0.00
23.93,0.76,661.5,416.5,7.00,0.00
24.77,0.76,661.5,416.5,7.00,0.00
23.93,0.76,661.5,416.5,7.00,0.00
6.07,0.74,686,245,3.50,0.00
6.05,0.74,686,245,3.50,0.00
6.01,0.74,686,245,3.50,0.00
6.04,0.74,686,245,3.50,0.00
6.37,0.71,710.5,269.5,3.50,0.00
6.4,0.71,710.5,269.5,3.50,0.00
6.37,0.71,710.5,269.5,3.50,0.00
6.4,0.71,710.5,269.5,3.50,0.00
6.85,0.69,735,294,3.50,0.00
6.79,0.69,735,294,3.50,0.00
6.77,0.69,735,294,3.50,0.00
6.81,0.69,735,294,3.50,0.00
7.18,0.66,759.5,318.5,3.50,0.00
7.1,0.66,759.5,318.5,3.50,0.00
7.1,0.66,759.5,318.5,3.50,0.00
7.1,0.66,759.5,318.5,3.50,0.00
10.85,0.64,784,343,3.50,0.00
10.54,0.64,784,343,3.50,0.00
10.77,0.64,784,343,3.50,0.00
10.56,0.64,784,343,3.50,0.00
8.6,0.62,808.5,367.5,3.50,0.00
8.49,0.62,808.5,367.5,3.50,0.00
8.45,0.62,808.5,367.5,3.50,0.00
8.5,0.62,808.5,367.5,3.50,0.00
24.58,0.98,514.5,294,7.00,0.10
24.63,0.98,514.5,294,7.00,0.10
24.63,0.98,514.5,294,7.00,0.10
24.59,0.98,514.5,294,7.00,0.10
29.03,0.9,563.5,318.5,7.00,0.10
29.87,0.9,563.5,318.5,7.00,0.10
29.14,0.9,563.5,318.5,7.00,0.10
28.09,0.9,563.5,318.5,7.00,0.10
26.28,0.86,588,294,7.00,0.10
26.91,0.86,588,294,7.00,0.10
26.37,0.86,588,294,7.00,0.10
25.27,0.86,588,294,7.00,0.10
23.53,0.82,612.5,318.5,7.00,0.10
24.03,0.82,612.5,318.5,7.00,0.10
23.54,0.82,612.5,318.5,7.00,0.10
22.58,0.82,612.5,318.5,7.00,0.10
35.56,0.79,637,343,7.00,0.10
37.12,0.79,637,343,7.00,0.10
36.9,0.79,637,343,7.00,0.10
35.94,0.79,637,343,7.00,0.10
32.96,0.76,661.5,416.5,7.00,0.10
32.12,0.76,661.5,416.5,7.00,0.10
32.94,0.76,661.5,416.5,7.00,0.10
32.21,0.76,661.5,416.5,7.00,0.10
10.36,0.74,686,245,3.50,0.10
10.43,0.74,686,245,3.50,0.10
10.36,0.74,686,245,3.50,0.10
10.39,0.74,686,245,3.50,0.10
10.71,0.71,710.5,269.5,3.50,0.10
10.8,0.71,710.5,269.5,3.50,0.10
10.7,0.71,710.5,269.5,3.50,0.10
10.75,0.71,710.5,269.5,3.50,0.10
11.11,0.69,735,294,3.50,0.10
11.13,0.69,735,294,3.50,0.10
11.09,0.69,735,294,3.50,0.10
11.16,0.69,735,294,3.50,0.10
11.68,0.66,759.5,318.5,3.50,0.10
11.69,0.66,759.5,318.5,3.50,0.10
11.7,0.66,759.5,318.5,3.50,0.10
11.69,0.66,759.5,318.5,3.50,0.10
15.41,0.64,784,343,3.50,0.10
15.2,0.64,784,343,3.50,0.10
15.42,0.64,784,343,3.50,0.10
15.21,0.64,784,343,3.50,0.10
12.96,0.62,808.5,367.5,3.50,0.10
12.97,0.62,808.5,367.5,3.50,0.10
12.93,0.62,808.5,367.5,3.50,0.10
13.02,0.62,808.5,367.5,3.50,0.10
24.29,0.98,514.5,294,7.00,0.10
24.31,0.98,514.5,294,7.00,0.10
24.13,0.98,514.5,294,7.00,0.10
24.25,0.98,514.5,294,7.00,0.10
28.88,0.9,563.5,318.5,7.00,0.10
29.68,0.9,563.5,318.5,7.00,0.10
28.83,0.9,563.5,318.5,7.00,0.10
27.9,0.9,563.5,318.5,7.00,0.10
26.48,0.86,588,294,7.00,0.10
27.02,0.86,588,294,7.00,0.10
26.33,0.86,588,294,7.00,0.10
25.36,0.86,588,294,7.00,0.10
23.75,0.82,612.5,318.5,7.00,0.10
24.23,0.82,612.5,318.5,7.00,0.10
23.67,0.82,612.5,318.5,7.00,0.10
22.79,0.82,612.5,318.5,7.00,0.10
35.65,0.79,637,343,7.00,0.10
37.26,0.79,637,343,7.00,0.10
36.97,0.79,637,343,7.00,0.10
36.03,0.79,637,343,7.00,0.10
33.16,0.76,661.5,416.5,7.00,0.10
32.4,0.76,661.5,416.5,7.00,0.10
33.12,0.76,661.5,416.5,7.00,0.10
32.41,0.76,661.5,416.5,7.00,0.10
10.42,0.74,686,245,3.50,0.10
